Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,17956990.0,32.90269,66.3779
7.338996338110348,3294932.0,21.30864,66.4055
10.772173450159421,4254733.0,-3.949292,66.3883
15.811388300841895,3544896.0,-17.00308,66.3948
23.207944168063896,4498480.0,5.612026,66.4082
34.06460345289807,4798247.0,-10.45456,66.3899
49.99999999999999,6013345.0,-5.936148,66.3877
73.38996338110344,5250726.0,-14.53973,66.4158
107.72173450159421,4806351.0,11.77024,66.4063
158.11388300841895,4695143.0,-17.02255,66.3896
232.07944168063884,4497846.0,-39.7473,66.3852
340.6460345289807,1585420.0,-49.72949,66.3745
499.99999999999994,2628763.0,-71.47524,66.3952
733.8996338110344,3004447.0,-43.99724,66.3994
1077.217345015941,1640636.0,-61.43415,66.3723
1581.1388300841895,1755043.0,-59.13789,66.3903
2320.794416806388,1291064.0,-80.83734,66.3767
3406.4603452898036,736532.5,-75.76232,66.4105
4999.999999999999,479748.7,-85.13316,66.3667
7338.996338110344,400634.3,-80.46529,66.3963
10772.17345015941,242119.0,-87.38892,66.3843
15811.388300841894,170761.4,-86.04814,66.401
23207.944168063907,119047.5,-84.43234,66.3901
34064.60345289804,79804.64,-87.45195,66.4
49999.99999999999,54601.54,-88.69066,66.3931
