Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,447.0,-43,212.47520813302472,1.7272,65.6455
a-025,IR02,615.0,-45,1374.134935780453,0.8103,65.6455
a-026,IR03,228.0,-33,370.9588465478424,1.1716,65.6455
a-027,IR04,751.0,-38,209.19137397358057,1.2028,65.6455
a-011,IR05,922.0,-46,148.22841862360366,1.4268,65.6455
a-023,IR06,997.0,-40,236.35551086528395,1.377,65.6455
a-022,IR07,32900.0,-27,0.0,0.594,65.6455
a-021,IR08,89900.0,-35,177.17038134289925,0.8375,65.6455
a-020,IR09,1910.0,-43,232.93735585408797,1.008,65.6455
a-004,IR10,2140.0,-45,147.6190919760766,1.2387,65.6455
a-028,PT01,7600.0,-37,30.406333132302095,3.2472,65.6455
a-029,PT02,1200.0,-75,31.491254797350035,2.1784,65.6455
a-030,PT03,419.0,-45,39.10985424072686,2.0868,65.6455
a-031,PT04,647.0,-52,33.55877395587946,2.3458,65.6455
a-015,PT05,1990.0,-43,30.676280024008616,2.0832,65.6455
a-019,PT06,478.0,-70,28.472062556045145,2.6302,65.6455
a-018,PT07,487.0,-62,35.6965598923087,2.1168,65.6455
a-017,PT08,823.0,-62,57.9571736649906,1.7199,65.6455
a-016,PT09,851.0,-52,72.17884425323798,1.607,65.6455
a-000,PT10,872.0,-51,25.43961936211488,2.8304,65.6455
