Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-028,PT01,53400.0,-36,2.9642238907328684,3.2472,67.0952
a-029,PT02,602.0,-45,28.696432102601246,2.1784,67.0952
a-030,PT03,1230.0,-25,51.923879207983454,2.0868,67.0952
a-031,PT04,908.0,-47,34.25637193497741,2.3458,67.0952
a-015,PT05,1340.0,-41,34.62698975372922,2.0832,67.0952
a-019,PT06,985.0,-32,36.17466937290743,2.6302,67.0952
a-018,PT07,1210.0,-25,38.80571124546726,2.1168,67.0952
a-017,PT08,1800.0,-53,50.7319298528066,1.7199,67.0952
a-016,PT09,1220.0,-88,77.69881204120452,1.607,67.0952
a-000,PT10,630.0,-66,27.773187807106964,2.8304,67.0952
