Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-028,PT01,1090.0,-24,65.9459,0.0,3.2472
d-029,PT02,378.0,-32,65.9459,100.92713338215069,2.1784
d-030,PT03,1590.0,-34,65.9459,30.080890453233884,2.0868
d-031,PT04,729.0,-25,65.9459,156.23320039725468,2.3458
d-015,PT05,745.0,-26,65.9459,151.08659261887163,2.0832
d-019,PT06,1140.0,53,65.9459,135.5630106678485,2.6302
d-018,PT07,1460.0,54,65.9459,152.57171244566698,2.1168
d-017,PT08,1790.0,54,65.9459,-9.161323964177148,1.7199
d-016,PT09,5230.0,-45,65.9459,321.70950808156937,1.607
d-000,PT10,4180.0,-46,65.9459,160.63141704025574,2.8304
