Unnamed: 0,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
10,d-008,PT01,6500.0,-36,66.2594,,3.2472
11,d-009,PT02,3330.0,-30,66.2594,,2.1784
12,d-010,PT03,42200.0,-25,66.2594,,2.0868
13,d-011,PT04,3430.0,-32,66.2594,,2.3458
14,d-005,PT05,3840.0,-37,66.2594,,2.0832
15,d-012,PT06,1780.0,-47,66.2594,,2.6302
16,d-013,PT07,1620.0,-45,66.2594,,2.1168
17,d-014,PT08,1450.0,-42,66.2594,,1.7199
18,d-015,PT09,4700.0,-39,66.2594,,1.607
19,d-004,PT10,1690.0,-55,66.2594,,2.8304
