Time (s),Voltage (V),Current (A)
0.07101869583129883,0.0,6.120347e-07
0.11510369300842285,0.01,6.834165e-07
0.1514105224609375,0.02,7.15254e-07
0.18962064743041993,0.03,7.885959e-07
0.22693026542663575,0.04,8.062449e-07
0.26330862045288084,0.05,8.354711e-07
0.3019352626800537,0.06,8.257422e-07
0.3448059940338135,0.07,9.205918e-07
0.38829995155334474,0.08,1.050055e-06
0.42463491439819334,0.09,1.050073e-06
0.4943747043609619,0.1,8.487726e-07
0.5495487880706788,0.11,7.753242e-07
0.5892805004119873,0.12,8.359337e-07
0.6325906372070312,0.13,1.050072e-06
0.6948588657379151,0.14,8.512455e-07
0.75070219039917,0.15,7.966097e-07
0.7934661102294922,0.16,8.653309e-07
0.8565306568145752,0.17,8.565254e-07
0.9125244235992431,0.18,8.000612e-07
0.9502076435089112,0.19,1.050016e-06
1.0161797046661376,0.2,8.654301e-07
1.0728567790985108,0.21,8.180882e-07
1.1359809303283692,0.22,8.56761e-07
1.199115333557129,0.23,8.185017e-07
1.2351599025726319,0.24,1.050052e-06
1.299957275390625,0.25,9.014179e-07
1.356059284210205,0.26,8.298059e-07
1.4191195392608642,0.27,8.943194e-07
1.4753135776519777,0.28,8.332561e-07
1.5384088802337645,0.29,8.960595e-07
1.5939324855804444,0.3,8.391715e-07
1.6624596786499024,0.31,9.018275e-07
1.7174740219116211,0.32,8.450661e-07
1.7807624435424805,0.33,9.079089e-07
1.8373310375213623,0.34,8.585134e-07
1.9010300159454345,0.35000000000000003,9.260621e-07
1.9575890731811523,0.36,8.785727e-07
2.022800102233887,0.37,9.445097e-07
2.080082759857178,0.38,9.000511e-07
2.143241243362427,0.39,9.580123e-07
2.1983495235443113,0.4,9.518159e-07
2.2821309757232666,0.41000000000000003,9.447435e-07
2.3390538597106936,0.42,9.101027e-07
2.4155823802947998,0.43,9.356169e-07
2.47198956489563,0.44,9.288189e-07
2.555373096466065,0.45,9.489223e-07
2.6121162128448487,0.46,9.395259e-07
2.689276542663574,0.47000000000000003,9.543398e-07
2.7240326976776124,0.48,1.018062e-06
2.7606714057922366,0.49,1.069143e-06
2.800980567932129,0.5,1.118187e-06
2.8432573986053464,0.51,1.157617e-06
2.880028429031372,0.52,1.179504e-06
2.9155124759674074,0.53,1.22845e-06
2.95035493850708,0.54,1.2717e-06
2.9871822357177735,0.55,1.311553e-06
3.026988573074341,0.56,1.334827e-06
3.069071569442749,0.5700000000000001,1.376121e-06
3.111335763931274,0.58,1.408382e-06
3.146713237762451,0.59,1.425147e-06
3.182776165008545,0.6,1.472065e-06
3.218426628112793,0.61,1.512747e-06
3.254297866821289,0.62,1.549932e-06
3.292982921600342,0.63,1.581752e-06
3.3346041011810303,0.64,1.625574e-06
3.377439546585083,0.65,1.65669e-06
3.4135959339141846,0.66,1.681293e-06
3.4501678848266604,0.67,1.734807e-06
3.4869882678985595,0.68,1.782843e-06
3.523621015548706,0.6900000000000001,1.834913e-06
3.563193702697754,0.7000000000000001,1.876673e-06
3.6048012924194337,0.71,1.935704e-06
3.6485248470306395,0.72,1.978881e-06
3.6836743927001954,0.73,2.026154e-06
3.719645528793335,0.74,2.104925e-06
3.7552380561828613,0.75,2.174355e-06
3.791300029754639,0.76,2.242843e-06
3.8282629871368408,0.77,2.312427e-06
3.8712534046173097,0.78,2.393612e-06
3.914567356109619,0.79,2.456594e-06
3.9497982025146485,0.8,2.5164e-06
3.9851172637939456,0.8,2.267243e-06
4.021359720230103,0.79,1.798497e-06
4.058006057739258,0.78,1.466038e-06
4.095239620208741,0.77,1.201771e-06
4.152116966247559,0.76,1.050052e-06
4.193540019989014,0.75,8.239354e-07
4.234301700592042,0.74,6.87689e-07
4.277590618133545,0.73,5.777961e-07
4.314533786773682,0.72,4.884832e-07
4.351629066467286,0.71,4.080555e-07
4.388499279022216,0.7,3.473072e-07
4.425386180877686,0.69,2.939817e-07
4.46335168838501,0.6799999999999999,2.478572e-07
4.5069178867340085,0.6699999999999999,2.103063e-07
4.547956132888794,0.6599999999999999,1.739791e-07
4.593433494567871,0.6499999999999999,1.46693e-07
4.631737556457519,0.6399999999999999,1.202857e-07
4.6707413768768316,0.6299999999999999,9.27653e-08
4.708560018539429,0.6199999999999999,7.898345e-08
4.7458343505859375,0.6099999999999999,6.159853e-08
4.7835068416595465,0.5999999999999999,4.787199e-08
4.828724088668823,0.5899999999999999,3.915167e-08
4.869671974182129,0.5799999999999998,2.411957e-08
4.915001277923584,0.5699999999999998,1.26534e-08
4.952311372756958,0.5599999999999998,4.717406e-09
4.989083118438721,0.5499999999999998,-1.12569e-08
5.0265992069244385,0.5399999999999998,-1.614995e-08
5.06415678024292,0.5299999999999998,-2.284634e-08
5.101573448181153,0.5199999999999998,-3.078363e-08
5.142074775695801,0.5099999999999998,-3.838e-08
5.185847682952881,0.4999999999999998,-4.399001e-08
5.2239841365814215,0.48999999999999977,-4.705171e-08
5.26208101272583,0.47999999999999976,-5.940444e-08
5.3009577560424805,0.46999999999999975,-6.051854e-08
5.338926601409913,0.45999999999999974,-6.642671e-08
5.376373786926269,0.44999999999999973,-7.161895e-08
5.418057432174683,0.4399999999999997,-7.455904e-08
5.458592376708984,0.4299999999999997,-8.199181e-08
5.503474884033203,0.4199999999999997,-8.617101e-08
5.542091751098633,0.4099999999999997,-8.995359e-08
5.579636926651001,0.3999999999999997,-1.03417e-07
5.617165651321411,0.3899999999999997,-1.038461e-07
5.654396352767945,0.37999999999999967,-1.100357e-07
5.699300794601441,0.36999999999999966,-1.038119e-07
5.745256662368774,0.35999999999999965,-1.088902e-07
5.787454814910889,0.34999999999999964,-1.192696e-07
5.833296957015991,0.33999999999999964,-1.233937e-07
5.871178302764893,0.3299999999999996,-1.297821e-07
5.909649257659913,0.3199999999999996,-1.410423e-07
5.947447156906128,0.3099999999999996,-1.438935e-07
5.984677143096924,0.2999999999999996,-1.498535e-07
6.0218453788757325,0.2899999999999996,-1.560811e-07
6.0644614791870115,0.2799999999999996,-1.554563e-07
6.1060707378387455,0.2699999999999996,-1.658688e-07
6.151267957687378,0.25999999999999956,-1.719052e-07
6.189806861877441,0.24999999999999956,-1.72451e-07
6.226995601654053,0.23999999999999955,-1.897327e-07
6.265925512313843,0.22999999999999954,-1.927712e-07
6.303456382751465,0.21999999999999953,-1.998079e-07
6.341929721832275,0.20999999999999952,-2.083027e-07
6.3833847236633305,0.1999999999999995,-2.106298e-07
6.424556007385254,0.1899999999999995,-2.222375e-07
6.471072635650635,0.1799999999999995,-2.263109e-07
6.509110860824585,0.16999999999999948,-2.338543e-07
6.547426843643189,0.15999999999999948,-2.510016e-07
6.585244293212891,0.14999999999999947,-2.569701e-07
6.623920288085937,0.13999999999999946,-2.635977e-07
6.662437973022461,0.12999999999999945,-2.750586e-07
6.703689365386963,0.11999999999999944,-2.81081e-07
6.744970321655273,0.10999999999999943,-2.950159e-07
6.789554805755615,0.09999999999999942,-3.053538e-07
6.827152194976807,0.08999999999999941,-3.115385e-07
6.864383134841919,0.0799999999999994,-3.346187e-07
6.903134231567383,0.0699999999999994,-3.414128e-07
6.940699195861817,0.05999999999999939,-3.566576e-07
6.979278631210327,0.04999999999999938,-3.701148e-07
7.023772039413452,0.03999999999999937,-3.726472e-07
