Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,29182.83,-51.90229,66.953
7.338996338110348,26932.6,-47.90803,66.9644
10.772173450159421,23574.2,-46.69929,66.9574
15.811388300841895,20429.75,-46.66243,66.953
23.207944168063896,17248.89,-47.14697,66.9534
34.06460345289807,14365.14,-47.88249,66.957
49.99999999999999,11886.64,-48.51564,66.9631
73.38996338110344,9768.475,-49.05988,66.9493
107.72173450159421,8003.982,-49.65156,66.9341
158.11388300841895,6543.335,-49.99628,66.9504
232.07944168063884,5380.273,-50.68361,66.9371
340.6460345289807,4377.526,-51.48312,66.9587
499.99999999999994,3556.731,-52.58843,66.9686
733.8996338110344,2856.878,-53.74474,66.9704
1077.217345015941,2271.706,-55.07507,66.9671
1581.1388300841895,1796.84,-56.53734,66.979
2320.794416806388,1406.214,-57.84758,66.9787
3406.4603452898036,1090.289,-58.8951,66.9602
4999.999999999999,837.4156,-59.47215,66.9636
7338.996338110344,639.0415,-59.271,66.961
10772.17345015941,486.6099,-58.12563,66.956
15811.388300841894,371.9468,-55.78279,66.9644
23207.944168063907,287.7554,-52.10816,66.9753
34064.60345289804,227.6716,-47.14864,66.9852
49999.99999999999,185.9388,-41.1973,66.9611
