Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,30184.45,-49.02555,66.8827
7.338996338110348,25124.95,-48.33065,66.8966
10.772173450159421,20603.11,-47.30072,66.8979
15.811388300841895,17049.4,-46.14737,66.8841
23.207944168063896,14163.99,-44.79026,66.8716
34.06460345289807,11872.27,-43.89296,66.8721
49.99999999999999,9987.769,-43.35231,66.8784
73.38996338110344,8417.848,-43.29215,66.8595
107.72173450159421,7056.413,-43.65626,66.8821
158.11388300841895,5909.679,-44.48831,66.8522
232.07944168063884,4921.103,-45.42943,66.8764
340.6460345289807,4046.92,-46.42165,66.848
499.99999999999994,3305.388,-47.1889,66.8505
733.8996338110344,2681.883,-47.59946,66.8486
1077.217345015941,2165.879,-47.69826,66.8751
1581.1388300841895,1760.806,-47.42967,66.8605
2320.794416806388,1435.366,-46.95243,66.8607
3406.4603452898036,1177.175,-46.338,66.8494
4999.999999999999,970.8698,-45.77551,66.8615
7338.996338110344,804.2198,-45.37111,66.8726
10772.17345015941,667.5614,-45.27233,66.8459
15811.388300841894,553.1842,-45.49403,66.8321
23207.944168063907,455.7656,-45.89409,66.8543
34064.60345289804,372.8951,-46.24307,66.8557
49999.99999999999,302.84,-46.25091,66.8366
