Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,297.0,-59,,,64.7741
A-025,IR02,411.0,-51,,,64.7741
A-026,IR03,304.0,-28,,,64.7741
A-027,IR04,382.0,-30,,,64.7741
A-011,IR05,187000.0,-27,,,64.7741
A-023,IR06,491.0,-9,,,64.7741
A-022,IR07,481000.0,-47,,,64.7741
A-021,IR08,331000.0,-41,,,64.7741
A-020,IR09,341.0,-41,,,64.7741
A-004,IR10,494.0,-67,,,64.7741
A-028,PT01,37300.0,-43,,,64.7741
A-029,PT02,497.0,-46,,,64.7741
A-030,PT03,424.0,-36,,,64.7741
A-031,PT04,565.0,-46,,,64.7741
A-015,PT05,1930.0,-43,,,64.7741
A-019,PT06,411.0,-74,,,64.7741
A-018,PT07,334.0,-66,,,64.7741
A-017,PT08,628.0,-66,,,64.7741
A-016,PT09,648.0,-60,,,64.7741
A-000,PT10,676.0,-59,,,64.7741
