Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,1770.0,-30,65.5252,71.9759661289321,1.7272
d-025,IR02,2930.0,-35,65.5252,69.81574355830077,0.8103
d-026,IR03,475.0,-38,65.5252,212.48263307279785,1.1716
d-027,IR04,1970.0,-34,65.5252,70.01143672893913,1.2028
d-011,IR05,1220.0,-32,65.5252,155.09320314586537,1.4268
d-023,IR06,896.0,-37,65.5252,293.3207806332828,1.377
d-022,IR07,2420.0,-36,65.5252,0.0,0.594
d-021,IR08,778.0,-32,65.5252,437.60219879627465,0.8375
d-020,IR09,649.0,-39,65.5252,344.3605006105556,1.008
d-004,IR10,2900.0,-43,65.5252,46.16812911800189,1.2387
