Unnamed: 0,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,6970.0,-31,66.3807,14.016213784485084,1.7272
1,d-025,IR02,21800.0,-24,66.3807,23.08197588798927,0.8103
2,d-026,IR03,2250.0,-27,66.3807,219.1020826223068,1.1716
3,d-027,IR04,397000.0,-36,66.3807,59.76948309422512,1.2028
4,d-007,IR05,3060.0,-30,66.3807,66.13208926077303,1.4268
5,d-028,IR06,786000.0,-29,66.3807,6.0575823478685775,1.377
6,d-029,IR07,9950.0,13,66.3807,0.0,0.594
7,d-030,IR08,27900.0,26,66.3807,30.86107921928792,0.8375
8,d-031,IR09,131000.0,160,66.3807,-1633.3066908721132,1.008
9,d-006,IR10,2180.0,89,66.3807,29.044097099331303,1.2387
