,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,35200.0,-26,65.7783,9.052175222175132,1.7272
1,d-025,IR02,27000.0,-30,65.7783,67.93780081453541,0.8103
2,d-026,IR03,4520.0,-25,65.7783,17.82572156420365,1.1716
3,d-027,IR04,130000.0,-29,65.7783,6.1667374439743385,1.2028
4,d-007,IR05,5370.0,-28,65.7783,52.08154304033292,1.4268
5,d-028,IR06,455000.0,-24,65.7783,25.59284397519692,1.377
6,d-029,IR07,8800.0,-27,65.7783,0.0,0.594
7,d-030,IR08,54000.0,-27,65.7783,9.252927222611863,0.8375
8,d-031,IR09,604000.0,-32,65.7783,342.68373844572636,1.008
9,d-006,IR10,9550.0,-37,65.7783,14.276873588123776,1.2387
10,d-008,PT01,4070.0,-39,65.7783,0.0,3.2472
11,d-009,PT02,922.0,-38,65.7783,59.91892186936688,2.1784
12,d-010,PT03,72700.0,-27,65.7783,3.598924848288627,2.0868
13,d-011,PT04,1050.0,-39,65.7783,52.75090669412754,2.3458
14,d-005,PT05,1430.0,-45,65.7783,63.09261037788081,2.0832
15,d-012,PT06,1170.0,-64,65.7783,28.690982174751987,2.6302
16,d-013,PT07,1190.0,-60,65.7783,41.97707208504412,2.1168
17,d-014,PT08,723.0,-59,65.7783,63.053300527694006,1.7199
18,d-015,PT09,18900.0,-19,65.7783,17.243048899968212,1.607
19,d-004,PT10,1140.0,-73,65.7783,26.2099404270143,2.8304
