Time (s),Voltage (V),Current (A)
0.06646537780761719,0.0,4.472585e-07
0.10340544700622559,0.01,5.670659e-07
0.14159196853637696,0.02,5.821844e-07
0.1779440975189209,0.03,6.043708e-07
0.21455562591552735,0.04,6.209305e-07
0.2575210094451904,0.05,6.014951e-07
0.2985776138305664,0.06,6.326227e-07
0.3426070594787598,0.07,6.382449e-07
0.37887240409851075,0.08,6.373596e-07
0.4157593059539795,0.09,6.818645e-07
0.4516896724700928,0.1,6.663886e-07
0.4878973197937012,0.11,6.733848e-07
0.5316313648223877,0.12,6.3754e-07
0.5752225971221924,0.13,6.654079e-07
0.6122835445404053,0.14,6.533788e-07
0.6485727310180665,0.15,6.972386e-07
0.685229082107544,0.16,6.757366e-07
0.7225546741485596,0.17,6.737662e-07
0.7595035648345947,0.18,6.737285e-07
0.8008035945892334,0.19,6.788706e-07
0.8437925815582276,0.2,6.672977e-07
0.880767936706543,0.21,6.609042e-07
0.9172202014923097,0.22,7.090387e-07
0.9536824798583985,0.23,6.795963e-07
0.9909804153442383,0.24,6.782761e-07
1.02787446975708,0.25,6.770865e-07
1.0677914333343506,0.26,6.790192e-07
1.1116313362121581,0.27,6.757107e-07
1.1483217811584474,0.28,6.640853e-07
1.1843060302734374,0.29,7.104533e-07
1.2203429698944093,0.3,6.820373e-07
1.2569368553161622,0.31,6.820126e-07
1.2945056343078614,0.32,6.768964e-07
1.3351278400421143,0.33,6.852532e-07
1.3789603519439697,0.34,6.736272e-07
1.4169132232666015,0.35000000000000003,6.702615e-07
1.4524273109436034,0.36,6.719338e-07
1.490036144256592,0.37,6.749132e-07
1.5270265197753907,0.38,6.760866e-07
1.5690735149383546,0.39,6.507841e-07
1.6101558685302735,0.4,6.668863e-07
1.6547224712371826,0.41000000000000003,6.689141e-07
1.6912979984283447,0.42,6.574744e-07
1.7281760787963867,0.43,6.971296e-07
1.7648686695098879,0.44,6.742986e-07
1.8023091793060304,0.45,6.708103e-07
1.840592498779297,0.46,6.668983e-07
1.8808856868743897,0.47000000000000003,6.796686e-07
1.9254396533966065,0.48,6.731815e-07
1.9621177005767823,0.49,6.711541e-07
1.9983711242675781,0.5,7.096251e-07
2.0359625530242917,0.51,6.891591e-07
2.0721711540222167,0.52,6.959636e-07
2.110376033782959,0.53,6.962694e-07
2.151219491958618,0.54,7.108916e-07
2.195549821853638,0.55,7.106581e-07
2.2321310710906985,0.56,7.151164e-07
2.2697842502593994,0.5700000000000001,7.399792e-07
2.3072192764282224,0.58,7.489564e-07
2.344237070083618,0.59,7.703702e-07
2.387436103820801,0.6,7.54823e-07
2.4271685314178466,0.61,8.068017e-07
2.4714387798309327,0.62,8.254657e-07
2.507906541824341,0.63,8.468017e-07
2.5447762775421143,0.64,9.959539e-07
2.5809352874755858,0.65,9.802053e-07
2.644732494354248,0.66,8.14382e-07
2.7009096050262453,0.67,7.979566e-07
2.7672304725646972,0.68,8.164581e-07
2.8247765827178957,0.6900000000000001,8.204065e-07
2.888926649093628,0.7000000000000001,8.523778e-07
2.9448603343963624,0.71,8.782686e-07
3.026934471130371,0.72,9.016107e-07
3.084021625518799,0.73,9.47076e-07
3.1474790859222415,0.74,1.06521e-06
3.186302661895752,0.75,1.128881e-06
3.226880283355713,0.76,1.240124e-06
3.271249237060547,0.77,1.338503e-06
3.307084712982178,0.78,1.449212e-06
3.342555170059204,0.79,1.597051e-06
3.3775843143463136,0.8,1.719846e-06
3.4122508239746097,0.8,1.552186e-06
3.4492421531677246,0.79,1.177958e-06
3.504337558746338,0.78,9.531345e-07
3.5472552585601806,0.77,7.359235e-07
3.588523578643799,0.76,5.652541e-07
3.632174892425537,0.75,4.336505e-07
3.6686779403686525,0.74,3.243082e-07
3.7049881076812747,0.73,2.090709e-07
3.740576581954956,0.72,1.45625e-07
3.7772937297821048,0.71,8.031036e-08
3.813687105178833,0.7,2.270303e-08
3.8537449741363528,0.69,-2.765093e-08
3.898465118408203,0.6799999999999999,-7.185053e-08
3.936199836730957,0.6699999999999999,-1.053695e-07
3.973425769805908,0.6599999999999999,-1.630224e-07
4.0104128074646,0.6499999999999999,-1.775825e-07
4.0479296112060545,0.6399999999999999,-2.04086e-07
4.085424718856812,0.6299999999999999,-2.269193e-07
4.128090648651123,0.6199999999999999,-2.313249e-07
4.169401407241821,0.6099999999999999,-2.628022e-07
4.213335247039796,0.5999999999999999,-2.772859e-07
4.251063528060913,0.5899999999999999,-2.912192e-07
4.289708051681519,0.5799999999999998,-3.258969e-07
4.327242259979248,0.5699999999999998,-3.235348e-07
4.365756845474243,0.5599999999999998,-3.331866e-07
4.404448575973511,0.5499999999999998,-3.430231e-07
4.4454434299468994,0.5399999999999998,-3.445495e-07
4.485676536560058,0.5299999999999998,-3.612036e-07
4.530493478775025,0.5199999999999998,-3.669206e-07
4.569473457336426,0.5099999999999998,-3.670365e-07
4.606848878860474,0.4999999999999998,-3.998445e-07
4.6438967132568365,0.48999999999999977,-3.913375e-07
4.682060346603394,0.47999999999999976,-3.973611e-07
4.71935923576355,0.46999999999999975,-4.045855e-07
4.762372303009034,0.45999999999999974,-3.929292e-07
4.803748388290405,0.44999999999999973,-4.103061e-07
4.849289646148682,0.4399999999999997,-4.109671e-07
4.886718235015869,0.4299999999999997,-4.122516e-07
4.92450945854187,0.4199999999999997,-4.420186e-07
4.962478542327881,0.4099999999999997,-4.273384e-07
4.9998274993896485,0.3999999999999997,-4.339237e-07
5.037801828384399,0.3899999999999997,-4.389556e-07
5.080487546920777,0.37999999999999967,-4.248803e-07
5.121711282730103,0.36999999999999966,-4.406416e-07
5.1665565967559814,0.35999999999999965,-4.455263e-07
5.204922885894776,0.34999999999999964,-4.413154e-07
5.242917003631591,0.33999999999999964,-4.735925e-07
5.280319128036499,0.3299999999999996,-4.622213e-07
5.31827247619629,0.3199999999999996,-4.626048e-07
5.355862951278686,0.3099999999999996,-4.678209e-07
5.39855772972107,0.2999999999999996,-4.565123e-07
5.440660753250122,0.2899999999999996,-4.760821e-07
5.485351333618164,0.2799999999999996,-4.753661e-07
5.522992115020752,0.2699999999999996,-4.744845e-07
5.560899686813355,0.25999999999999956,-5.06575e-07
5.598842544555664,0.24999999999999956,-4.89445e-07
5.636708393096924,0.23999999999999955,-4.949183e-07
5.674698457717896,0.22999999999999954,-4.967155e-07
5.717203693389893,0.21999999999999953,-4.852739e-07
5.757172393798828,0.20999999999999952,-5.039332e-07
5.800633687973023,0.1999999999999995,-5.08142e-07
5.8383188152313235,0.1899999999999995,-5.066399e-07
5.875841579437256,0.1799999999999995,-5.384317e-07
5.913310222625732,0.16999999999999948,-5.186662e-07
5.951467657089234,0.15999999999999948,-5.241926e-07
5.989312524795532,0.14999999999999947,-5.26097e-07
