Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,36015.28,-56.95512,67.8116
7.338996338110348,20218.08,-54.04789,67.7954
10.772173450159421,15220.51,-52.73001,67.7892
15.811388300841895,11908.8,-50.5779,67.7522
23.207944168063896,9424.706,-47.81948,67.7442
34.06460345289807,7666.21,-44.33842,67.7162
49.99999999999999,6425.869,-40.80181,67.691
73.38996338110344,5524.421,-37.73396,67.6947
107.72173450159421,4820.376,-35.7138,67.6443
158.11388300841895,4216.05,-34.56517,67.648
232.07944168063884,3705.869,-34.10522,67.6392
340.6460345289807,3233.744,-34.34861,67.6263
499.99999999999994,2797.265,-35.04406,67.5951
733.8996338110344,2394.981,-35.66385,67.6095
1077.217345015941,2028.028,-35.82839,67.5854
1581.1388300841895,1724.061,-35.71287,67.5711
2320.794416806388,1464.7,-34.93468,67.5443
3406.4603452898036,1253.567,-33.63422,67.5499
4999.999999999999,1086.736,-31.90797,67.5144
7338.996338110344,956.5362,-30.10203,67.5297
10772.17345015941,854.1661,-28.59167,67.5018
15811.388300841894,769.6644,-27.80295,67.492
23207.944168063907,700.1495,-28.10963,67.5017
34064.60345289804,635.5663,-29.55618,67.4951
49999.99999999999,568.4538,-31.9063,67.5001
