Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,18504.8,-45.88856,67.5392
7.338996338110348,15644.96,-44.27639,67.5678
10.772173450159421,13136.76,-42.52503,67.6247
15.811388300841895,11157.24,-40.86208,67.6392
23.207944168063896,9493.318,-39.32065,67.7039
34.06460345289807,8117.687,-37.98064,67.7606
49.99999999999999,6981.592,-36.79236,67.8035
73.38996338110344,6032.809,-35.68784,67.8639
107.72173450159421,5246.175,-34.79668,67.9049
158.11388300841895,4581.981,-34.06786,67.9609
232.07944168063884,4004.303,-33.63421,68.0215
340.6460345289807,3508.885,-33.54781,68.0479
499.99999999999994,3072.4,-33.88265,68.0989
733.8996338110344,2675.193,-34.5105,68.1219
1077.217345015941,2308.894,-35.35945,68.1927
1581.1388300841895,1988.297,-36.3545,68.2183
2320.794416806388,1700.586,-37.37766,68.2681
3406.4603452898036,1444.599,-38.08678,68.2901
4999.999999999999,1222.158,-38.57282,68.3269
7338.996338110344,1033.578,-38.69494,68.3621
10772.17345015941,875.0032,-38.60196,68.385
15811.388300841894,744.8748,-38.4231,68.4035
23207.944168063907,635.6729,-38.36619,68.4241
34064.60345289804,543.0615,-38.53881,68.4484
49999.99999999999,462.5455,-38.90444,68.4291
