Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,88.8,-48,,,65.2
A-025,IR02,334.0,4,,,65.2
A-026,IR03,94.3,-27,,,65.2
A-027,IR04,509.0,-27,,,65.2
A-011,IR05,203000.0,-28,,,65.2
A-023,IR06,416.0,-47,,,65.2
A-022,IR07,166000.0,-27,,,65.2
A-021,IR08,90000.0,-31,,,65.2
A-020,IR09,325.0,-41,,,65.2
A-004,IR10,496.0,-67,,,65.2
A-028,PT01,18100.0,-31,,,65.2
A-029,PT02,483.0,-42,,,65.2
A-030,PT03,423.0,-35,,,65.2
A-031,PT04,542.0,-44,,,65.2
A-015,PT05,1890.0,-42,,,65.2
A-019,PT06,436.0,-74,,,65.2
A-018,PT07,276.0,-64,,,65.2
A-017,PT08,617.0,-67,,,65.2
A-016,PT09,651.0,-61,,,65.2
A-000,PT10,661.0,-61,,,65.2
