Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,pt10,Port A,1,8.66e+02,-62,4.13e+02,2.09e-07
A-001,A-001,Port A,0,2.92e+07,-140,-2.22e+07,8.41e-12
A-002,A-002,Port A,0,3.07e+07,-98,-4.40e+06,5.24e-12
A-003,A-003,Port A,0,3.70e+07,-152,-3.28e+07,9.20e-12
A-004,ir10,Port A,1,1.20e+03,-39,9.25e+02,2.09e-07
A-005,A-005,Port A,0,1.03e+06,-145,-8.40e+05,2.69e-10
A-006,A-006,Port A,0,3.53e+07,-125,-2.04e+07,5.53e-12
A-007,A-007,Port A,0,1.10e+06,-156,-1.00e+06,3.64e-10
A-008,A-008,Port A,0,4.01e+07,-133,-2.75e+07,5.46e-12
A-009,A-009,Port A,0,2.82e+07,-89,5.23e+05,5.65e-12
A-010,A-010,Port A,0,3.39e+07,-132,-2.28e+07,6.35e-12
A-011,ir05,Port A,1,7.13e+02,-43,5.24e+02,3.29e-07
A-012,A-012,Port A,0,2.78e+07,-114,-1.11e+07,6.26e-12
A-013,A-013,Port A,0,4.65e+07,-130,-2.98e+07,4.45e-12
A-014,A-014,Port A,0,2.84e+07,-115,-1.18e+07,6.17e-12
A-015,pt05,Port A,1,1.28e+03,-38,1.01e+03,1.99e-07
A-016,pt09,Port A,1,1.13e+03,-48,7.52e+02,1.88e-07
A-017,pt08,Port A,1,6.35e+02,-64,2.80e+02,2.79e-07
A-018,pt07,Port A,1,1.02e+03,-41,7.71e+02,2.39e-07
A-019,pt06,Port A,1,1.33e+03,-28,1.18e+03,2.57e-07
A-020,ir09,Port A,1,1.02e+03,-37,8.17e+02,2.61e-07
A-021,ir08,Port A,1,1.59e+03,-35,1.30e+03,1.75e-07
A-022,ir07,Port A,1,1.61e+03,-29,1.41e+03,2.02e-07
A-023,ir06,Port A,1,1.15e+03,-32,9.78e+02,2.61e-07
A-024,ir01,Port A,1,5.95e+02,-6,5.92e+02,2.61e-06
A-025,ir02,Port A,1,8.15e+02,5,8.12e+02,-2.39e-06
A-026,ir03,Port A,1,5.70e+02,-25,5.17e+02,6.62e-07
A-027,ir04,Port A,1,5.87e+02,-44,4.24e+02,3.92e-07
A-028,pt01,Port A,1,7.40e+02,-33,6.20e+02,3.94e-07
A-029,pt02,Port A,1,6.51e+02,-41,4.90e+02,3.71e-07
A-030,pt03,Port A,1,1.89e+03,-20,1.77e+03,2.44e-07
A-031,pt04,Port A,1,9.27e+02,-28,8.22e+02,3.71e-07
