,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,37200.0,-29,66.2594,,1.7272
1,d-025,IR02,51000.0,-26,66.2594,,0.8103
2,d-026,IR03,30100.0,-28,66.2594,,1.1716
3,d-027,IR04,393000.0,-34,66.2594,,1.2028
4,d-007,IR05,31400.0,-30,66.2594,,1.4268
5,d-028,IR06,715000.0,-28,66.2594,,1.377
6,d-029,IR07,7690.0,-27,66.2594,,0.594
7,d-030,IR08,83600.0,-23,66.2594,,0.8375
8,d-031,IR09,560000.0,-31,66.2594,,1.008
9,d-006,IR10,7460.0,-33,66.2594,,1.2387
10,d-008,PT01,6500.0,-36,66.2594,,3.2472
11,d-009,PT02,3330.0,-30,66.2594,,2.1784
12,d-010,PT03,42200.0,-25,66.2594,,2.0868
13,d-011,PT04,3430.0,-32,66.2594,,2.3458
14,d-005,PT05,3840.0,-37,66.2594,,2.0832
15,d-012,PT06,1780.0,-47,66.2594,,2.6302
16,d-013,PT07,1620.0,-45,66.2594,,2.1168
17,d-014,PT08,1450.0,-42,66.2594,,1.7199
18,d-015,PT09,4700.0,-39,66.2594,,1.607
19,d-004,PT10,1690.0,-55,66.2594,,2.8304
