Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,24882.74,-49.55313,66.936
7.338996338110348,23486.25,-45.19676,66.9399
10.772173450159421,20915.12,-43.66881,66.9166
15.811388300841895,18470.35,-43.55406,66.9325
23.207944168063896,15912.39,-44.23966,66.9452
34.06460345289807,13443.67,-45.18412,66.9332
49.99999999999999,11266.72,-46.24058,66.9407
73.38996338110344,9359.134,-47.19056,66.937
107.72173450159421,7744.388,-48.15765,66.9323
158.11388300841895,6387.002,-49.0767,66.9317
232.07944168063884,5245.772,-50.24348,66.9433
340.6460345289807,4276.426,-51.4848,66.9445
499.99999999999994,3460.725,-52.9487,66.9499
733.8996338110344,2771.609,-54.45867,66.9347
1077.217345015941,2190.646,-56.08278,66.9522
1581.1388300841895,1718.071,-57.63097,66.9418
2320.794416806388,1335.367,-58.94861,66.9396
3406.4603452898036,1028.305,-59.82024,66.9328
4999.999999999999,785.1664,-60.1015,66.9362
7338.996338110344,596.9537,-59.52931,66.9528
10772.17345015941,453.9719,-57.93707,66.9635
15811.388300841894,347.4203,-55.08211,66.9501
23207.944168063907,269.9765,-50.8739,66.968
34064.60345289804,215.3808,-45.42582,66.9377
49999.99999999999,177.9473,-39.1052,66.9407
