Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,34657.99,-70.03528,66.9656
7.338996338110348,27643.66,-66.66843,66.9521
10.772173450159421,21302.45,-64.47695,66.9652
15.811388300841895,16523.47,-62.27984,66.9375
23.207944168063896,12854.54,-60.20949,66.9668
34.06460345289807,9988.903,-58.18422,66.9675
49.99999999999999,7829.588,-55.68101,66.9527
73.38996338110344,6183.577,-52.695,66.9608
107.72173450159421,4986.724,-49.15467,66.9677
158.11388300841895,4072.952,-45.28963,66.9511
232.07944168063884,3417.756,-41.38816,66.9513
340.6460345289807,2932.065,-37.80999,66.9512
499.99999999999994,2574.016,-34.96844,66.9589
733.8996338110344,2289.756,-33.29175,66.954
1077.217345015941,2046.278,-32.91415,66.9346
1581.1388300841895,1829.673,-34.00598,66.9578
2320.794416806388,1616.794,-36.36078,66.9586
3406.4603452898036,1400.449,-39.6977,66.9708
4999.999999999999,1180.481,-43.57532,66.9663
7338.996338110344,967.2582,-47.41046,66.949
10772.17345015941,771.8795,-50.63265,66.9328
15811.388300841894,603.2964,-52.83161,66.9547
23207.944168063907,465.3628,-53.64577,66.9528
34064.60345289804,357.7657,-52.85619,66.9553
49999.99999999999,276.7327,-50.33825,66.9432
