Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,583.0,-75,246.8900946203896,1.7272,65.1278
a-025,IR02,326.0,-17,562.0509246617805,0.8103,65.1278
a-026,IR03,382.0,-70,314.8773100121548,1.1716,65.1278
a-027,IR04,659.0,-39,267.80460975680086,1.2028,65.1278
a-011,IR05,589.0,-43,194.8346470715445,1.4268,65.1278
a-023,IR06,1210.0,-41,68.46762129986523,1.377,65.1278
a-022,IR07,1210.0,-40,0.0,0.594,65.1278
a-021,IR08,24800.0,-26,9.739025857533644,0.8375,65.1278
a-020,IR09,2350.0,-41,72.50252418520574,1.008,65.1278
a-004,IR10,2600.0,-43,50.00613833074667,1.2387,65.1278
a-028,PT01,26600.0,-35,13.88426570369904,3.2472,65.1278
a-029,PT02,1070.0,-78,32.686823988048815,2.1784,65.1278
a-030,PT03,567.0,-37,39.85657730826235,2.0868,65.1278
a-031,PT04,687.0,-44,49.23966674757553,2.3458,65.1278
a-015,PT05,1170.0,-41,73.08467741943939,2.0832,65.1278
a-019,PT06,881.0,-85,32.83060183676043,2.6302,65.1278
a-018,PT07,887.0,-63,31.20790499822832,2.1168,65.1278
a-017,PT08,849.0,-67,51.856377001821166,1.7199,65.1278
a-016,PT09,691.0,-59,73.66273683854135,1.607,65.1278
a-000,PT10,1370.0,-99,24.11554669186052,2.8304,65.1278
