Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 100 Hz (ohms),Impedance Phase at 100 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.34e+04,113,-5.27e+03,-1.29e-07
D-001,D-001,Port D,1,1.99e+08,-78,4.02e+07,8.18e-12
D-002,D-002,Port D,1,1.39e+08,-31,1.19e+08,2.24e-11
D-003,D-003,Port D,1,4.57e+08,-60,2.28e+08,4.01e-12
D-004,pt10,Port D,1,2.93e+04,-60,1.47e+04,6.27e-08
D-005,pt05,Port D,1,1.80e+04,-78,3.84e+03,9.06e-08
D-006,ir10,Port D,1,1.76e+04,-32,1.49e+04,1.69e-07
D-007,ir05,Port D,1,2.47e+04,-63,1.11e+04,7.20e-08
D-008,pt01,Port D,1,2.23e+04,-66,9.17e+03,7.84e-08
D-009,pt02,Port D,1,1.95e+04,-79,3.67e+03,8.33e-08
D-010,pt03,Port D,1,1.62e+05,-9,1.60e+05,6.21e-08
D-011,pt04,Port D,1,1.90e+04,-82,2.59e+03,8.47e-08
D-012,pt06,Port D,1,2.27e+04,-62,1.05e+04,7.92e-08
D-013,pt07,Port D,1,2.86e+04,-59,1.47e+04,6.48e-08
D-014,pt08,Port D,1,2.44e+04,-64,1.08e+04,7.26e-08
D-015,pt09,Port D,1,9.43e+04,-10,9.27e+04,9.38e-08
D-016,g2x2l-2,Port D,1,3.25e+04,-66,1.32e+04,5.36e-08
D-017,g2x2l-1,Port D,1,7.05e+04,-36,5.73e+04,3.87e-08
D-018,g2x2s-2,Port D,1,2.97e+04,-36,2.39e+04,9.04e-08
D-019,g2x2s-1,Port D,1,4.27e+04,-33,3.56e+04,6.75e-08
D-020,g3x3s-2,Port D,1,4.19e+04,-41,3.15e+04,5.77e-08
D-021,g3x3s-1,Port D,1,2.41e+04,-69,8.76e+03,7.07e-08
D-022,g1x1-2,Port D,1,1.86e+04,-32,1.58e+04,1.62e-07
D-023,g1x1-1,Port D,1,6.50e+04,-24,5.93e+04,5.99e-08
D-024,ir01,Port D,1,4.36e+04,-23,4.02e+04,9.40e-08
D-025,ir02,Port D,1,1.54e+04,-16,1.48e+04,3.74e-07
D-026,ir03,Port D,1,2.35e+04,-64,1.04e+04,7.54e-08
D-027,ir04,Port D,1,2.37e+04,-14,2.30e+04,2.70e-07
D-028,ir06,Port D,1,2.34e+06,-7,2.32e+06,5.60e-09
D-029,ir07,Port D,1,1.38e+04,-24,1.26e+04,2.84e-07
D-030,ir08,Port D,1,2.92e+05,-17,2.79e+05,1.84e-08
D-031,ir09,Port D,1,1.05e+06,-16,1.01e+06,5.39e-09
