Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,344.0,153,65.3653,238.13815261382942,1.7272
a-025,IR02,93.0,-33,65.3653,589.0726661673406,0.8103
a-026,IR03,695.0,-81,65.3653,483.9426250316391,1.1716
a-027,IR04,339.0,-39,65.3653,420.653091504215,1.2028
a-011,IR05,426.0,-43,65.3653,225.760712514334,1.4268
a-023,IR06,552.0,-36,65.3653,164.32328712312483,1.377
a-022,IR07,697.0,-35,65.3653,0.0,0.594
a-021,IR08,651.0,-39,65.3653,255.2211791720625,0.8375
a-020,IR09,1040.0,-37,65.3653,209.19372022315557,1.008
a-004,IR10,1190.0,-40,65.3653,126.40719749211462,1.2387
a-028,PT01,1450.0,-37,65.3653,0.0,3.2472
a-029,PT02,1280.0,-41,65.3653,22.298735590736445,2.1784
a-030,PT03,2430.0,-24,65.3653,36.601387069104625,2.0868
a-031,PT04,2260.0,-32,65.3653,27.342047215864145,2.3458
a-015,PT05,2600.0,-36,65.3653,35.665166291583596,2.0832
a-019,PT06,588.0,-74,65.3653,50.61105412902077,2.6302
a-018,PT07,524.0,-67,65.3653,65.04898540613539,2.1168
a-017,PT08,712.0,-66,65.3653,72.61155612807856,1.7199
a-016,PT09,424.0,-68,65.3653,109.62663347854212,1.607
a-000,PT10,828.0,-62,65.3653,41.131397573596885,2.8304
