,Channel Number,Channel Name,Impedance Magnitude at 1 kHz (ohms),Impedance Phase at 1 kHz (degrees),EIS Magnitude Data (ohms),EIS Phase Data (degrees),EIS Frequency Data (Hz),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,,,,,,,17.292043478601297,1.7272
1,d-025,IR02,,,,,,,28.691494444915918,0.8103
2,d-026,IR03,,,,,,,63.849671648718974,1.1716
3,d-027,IR04,,,,,,,173.1426981924385,1.2028
4,d-007,IR05,,,,,,,63.6119557481974,1.4268
5,d-028,IR06,,,,,,,3.3831908831908857,1.377
6,d-029,IR07,,,,,,,0.0,0.594
7,d-030,IR08,,,,,,,9.48132504780456,0.8375
8,d-031,IR09,,,,,,,10.16094575079905,1.008
9,d-006,IR10,,,,,,,21.86636604565477,1.2387
10,d-008,PT01,,,,,,,0.0,3.2472
11,d-009,PT02,,,,,,,147.78998409724332,2.1784
12,d-010,PT03,,,,,,,6.449329853585776,2.0868
13,d-011,PT04,,,,,,,74.57518183071281,2.3458
14,d-005,PT05,,,,,,,67.11560616803452,2.0832
15,d-012,PT06,,,,,,,50.91016712366981,2.6302
16,d-013,PT07,,,,,,,62.07568497484572,2.1168
17,d-014,PT08,,,,,,,75.4419979694674,1.7199
18,d-015,PT09,,,,,,,52.5880414625233,1.607
19,d-004,PT10,,,,,,,36.94231856329081,2.8304
