Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.15e+03,96,-3.45e+02,-5.09e-08
D-001,D-001,Port D,1,2.81e+07,-141,-2.17e+07,8.92e-12
D-002,D-002,Port D,1,3.07e+07,-122,-1.62e+07,6.11e-12
D-003,D-003,Port D,1,3.83e+07,-155,-3.47e+07,9.86e-12
D-004,pt10,Port D,1,1.31e+03,-65,5.62e+02,1.35e-07
D-005,pt05,Port D,1,1.44e+03,-45,1.02e+03,1.56e-07
D-006,ir10,Port D,1,9.65e+03,-37,7.74e+03,2.76e-08
D-007,ir05,Port D,1,1.56e+04,-28,1.38e+04,2.17e-08
D-008,pt01,Port D,1,4.06e+03,-39,3.15e+03,6.20e-08
D-009,pt02,Port D,1,1.04e+03,-41,7.76e+02,2.32e-07
D-010,pt03,Port D,1,7.79e+04,-27,6.96e+04,4.54e-09
D-011,pt04,Port D,1,1.11e+03,-40,8.55e+02,2.23e-07
D-012,pt06,Port D,1,9.79e+02,-55,5.67e+02,1.99e-07
D-013,pt07,Port D,1,1.33e+03,-55,7.70e+02,1.47e-07
D-014,pt08,Port D,1,9.45e+02,-51,5.90e+02,2.16e-07
D-015,pt09,Port D,1,2.41e+04,-19,2.27e+04,2.02e-08
D-016,g2x2l-2,Port D,1,1.05e+04,-63,4.75e+03,1.69e-08
D-017,g2x2l-1,Port D,1,1.73e+04,-69,6.16e+03,9.85e-09
D-018,g2x2s-2,Port D,1,7.91e+03,-67,3.13e+03,2.19e-08
D-019,g2x2s-1,Port D,1,1.28e+04,-48,8.55e+03,1.66e-08
D-020,g3x3s-2,Port D,1,1.32e+04,-71,4.31e+03,1.27e-08
D-021,g3x3s-1,Port D,1,1.42e+04,-72,4.34e+03,1.17e-08
D-022,g1x1-2,Port D,1,1.02e+04,-60,5.12e+03,1.79e-08
D-023,g1x1-1,Port D,1,8.20e+03,-63,3.67e+03,2.17e-08
D-024,ir01,Port D,1,8.51e+04,-30,7.40e+04,3.79e-09
D-025,ir02,Port D,1,3.07e+05,-31,2.63e+05,1.01e-09
D-026,ir03,Port D,1,1.46e+04,-26,1.32e+04,2.54e-08
D-027,ir04,Port D,1,3.92e+04,-28,3.45e+04,8.57e-09
D-028,ir06,Port D,1,6.69e+05,-28,5.92e+05,5.12e-10
D-029,ir07,Port D,1,9.00e+03,-28,7.98e+03,3.83e-08
D-030,ir08,Port D,1,6.50e+04,-27,5.79e+04,5.37e-09
D-031,ir09,Port D,1,4.15e+05,-34,3.43e+05,6.85e-10
