Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.93e+07,-14,3.81e+07,3.57e-10
D-001,D-001,Port D,1,4.64e+08,-42,3.44e+08,1.10e-11
D-002,D-002,Port D,1,1.42e+08,-17,1.35e+08,8.20e-11
D-003,D-003,Port D,1,6.20e+08,-41,4.69e+08,8.44e-12
D-004,pt10,Port D,1,6.59e+04,-72,2.02e+04,5.48e-08
D-005,pt05,Port D,1,6.41e+04,-85,5.77e+03,5.38e-08
D-006,ir10,Port D,1,6.72e+04,-71,2.18e+04,5.40e-08
D-007,ir05,Port D,1,8.12e+04,-84,8.55e+03,4.25e-08
D-008,pt01,Port D,1,5.83e+04,-78,1.21e+04,6.02e-08
D-009,pt02,Port D,1,7.07e+04,-85,6.68e+03,4.88e-08
D-010,pt03,Port D,1,2.37e+05,-7,2.35e+05,1.14e-07
D-011,pt04,Port D,1,6.67e+04,-86,5.20e+03,5.16e-08
D-012,pt06,Port D,1,6.78e+04,-79,1.31e+04,5.16e-08
D-013,pt07,Port D,1,6.41e+04,-77,1.48e+04,5.50e-08
D-014,pt08,Port D,1,5.67e+04,-76,1.37e+04,6.24e-08
D-015,pt09,Port D,1,7.69e+04,-8,7.62e+04,3.41e-07
D-016,g2x2l-2,Port D,1,5.70e+04,-37,4.56e+04,1.01e-07
D-017,g2x2l-1,Port D,1,8.22e+04,-34,6.82e+04,7.48e-08
D-018,g2x2s-2,Port D,1,5.44e+04,-39,4.24e+04,1.01e-07
D-019,g2x2s-1,Port D,1,1.14e+05,-39,8.81e+04,4.79e-08
D-020,g3x3s-2,Port D,1,1.02e+05,-58,5.44e+04,3.97e-08
D-021,g3x3s-1,Port D,1,5.71e+04,-76,1.40e+04,6.20e-08
D-022,g1x1-2,Port D,1,8.48e+04,-45,5.97e+04,5.70e-08
D-023,g1x1-1,Port D,1,7.94e+04,-61,3.82e+04,4.93e-08
D-024,ir01,Port D,1,9.21e+04,-69,3.23e+04,3.98e-08
D-025,ir02,Port D,1,7.70e+04,-73,2.21e+04,4.66e-08
D-026,ir03,Port D,1,7.69e+04,-77,1.74e+04,4.58e-08
D-027,ir04,Port D,1,7.35e+04,-25,6.69e+04,1.12e-07
D-028,ir06,Port D,1,2.45e+06,-1,2.45e+06,5.87e-08
D-029,ir07,Port D,1,5.88e+04,-70,1.99e+04,6.21e-08
D-030,ir08,Port D,1,1.66e+05,-11,1.63e+05,1.04e-07
D-031,ir09,Port D,1,1.03e+06,-6,1.03e+06,3.17e-08
