Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 2142.86 Hz (ohms),Impedance Phase at 2142.86 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,2.74e+03,-78,5.91e+02,2.77e-08
D-001,D-001,Port D,1,7.75e+06,-175,-7.71e+06,1.04e-10
D-002,D-002,Port D,1,8.65e+06,-165,-8.35e+06,3.27e-11
D-003,D-003,Port D,1,8.39e+06,173,-8.33e+06,-7.29e-11
D-004,D-004,Port D,1,6.78e+03,-55,3.88e+03,1.34e-08
D-005,D-005,Port D,1,1.01e+03,-61,4.94e+02,8.40e-08
D-006,D-006,Port D,1,8.02e+03,-54,4.67e+03,1.14e-08
D-007,D-007,Port D,1,6.95e+03,-47,4.71e+03,1.45e-08
D-008,D-008,Port D,1,3.21e+03,-55,1.85e+03,2.84e-08
D-009,D-009,Port D,1,9.05e+02,-54,5.26e+02,1.01e-07
D-010,D-010,Port D,1,1.31e+05,-44,9.34e+04,8.12e-10
D-011,D-011,Port D,1,8.31e+02,-43,6.08e+02,1.31e-07
D-012,D-012,Port D,1,6.67e+03,-41,5.01e+03,1.69e-08
D-013,D-013,Port D,1,6.72e+03,-42,5.02e+03,1.66e-08
D-014,D-014,Port D,1,6.59e+03,-40,5.07e+03,1.76e-08
D-015,D-015,Port D,1,5.04e+04,-41,3.78e+04,2.22e-09
D-016,D-016,Port D,1,3.50e+03,-97,-4.53e+02,2.14e-08
D-017,D-017,Port D,1,1.44e+04,-102,-3.11e+03,5.27e-09
D-018,D-018,Port D,1,6.80e+03,-93,-3.42e+02,1.09e-08
D-019,D-019,Port D,1,1.12e+04,-78,2.27e+03,6.75e-09
D-020,D-020,Port D,1,7.69e+03,-93,-3.91e+02,9.67e-09
D-021,D-021,Port D,1,2.05e+03,-95,-1.85e+02,3.64e-08
D-022,D-022,Port D,1,9.42e+03,-79,1.72e+03,8.02e-09
D-023,D-023,Port D,1,5.97e+03,-88,2.14e+02,1.24e-08
D-024,D-024,Port D,1,2.49e+04,-48,1.68e+04,4.04e-09
D-025,D-025,Port D,1,1.10e+04,-42,8.16e+03,1.01e-08
D-026,D-026,Port D,1,6.14e+03,-42,4.58e+03,1.81e-08
D-027,D-027,Port D,1,1.57e+04,-39,1.21e+04,7.44e-09
D-028,D-028,Port D,1,1.57e+06,-70,5.35e+05,5.05e-11
D-029,D-029,Port D,1,7.64e+03,-41,5.81e+03,1.50e-08
D-030,D-030,Port D,1,1.94e+05,-41,1.46e+05,5.82e-10
D-031,D-031,Port D,1,4.90e+05,-61,2.40e+05,1.74e-10
