,Measurement Datetime,Temperature (C),Real Days,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees)
510,2024-11-15 15:24:51,62.9203,0.003368055555555555,1906410.0,-7.57975
511,2024-11-18 09:42:10,63.0826,2.7653935185185183,3768503.0,-101.2698
512,2024-11-21 09:46:49,63.0,5.768622685185186,3122528.0,-22.86563
513,2024-11-25 10:17:26,63.599999999999994,9.789884259259258,3227988.0,9.494289
514,2024-12-02 10:19:02,63.8,16.79099537037037,1945514.0,-53.41007
515,2024-12-09 10:26:19,63.099999999999994,23.796053240740743,777726.8,133.8625
516,2024-12-17 17:38:27,66.9,32.09614583333333,1030201.0,-59.24148
0,2024-12-23 17:33:22,67.9382,38.09261574074074,459192.1,91.60858
1,2024-12-24 05:46:53,68.2332,38.60200231481481,258499.1,-173.6478
2,2024-12-24 18:00:23,68.1133,39.11137731481481,309113.0,-84.64682
3,2024-12-25 06:13:54,68.7346,39.62076388888889,465729.3,-11.27418
4,2024-12-25 18:27:25,68.2737,40.13015046296296,212835.8,-106.1656
5,2024-12-26 06:40:56,68.652,40.63953703703704,350519.7,-4.929685
6,2024-12-26 18:54:27,68.3323,41.14892361111111,936787.8,-30.85979
7,2024-12-27 07:07:57,68.131,41.65829861111111,959027.7,-101.7299
8,2024-12-27 19:21:28,68.3489,42.16768518518519,564514.9,-66.59797
9,2024-12-28 07:34:59,68.605,42.677071759259256,880641.5,62.65106
10,2024-12-28 19:48:30,68.5069,43.18645833333333,743636.5,-87.16446
11,2024-12-29 08:02:00,68.7046,43.69583333333333,1798063.0,-3.836888
12,2024-12-29 20:15:31,68.7527,44.20521990740741,767663.3,-12.1155
13,2024-12-30 08:29:02,68.7708,44.71460648148148,318689.5,-41.0505
14,2024-12-30 11:07:34,67.6467,44.82469907407407,2310684.0,-87.094
15,2024-12-30 23:21:05,67.9161,45.33408564814815,459454.6,-61.14519
16,2024-12-31 11:34:34,67.6224,45.84344907407407,1267969.0,140.9857
17,2024-12-31 18:04:56,67.4528,46.11453703703703,185325.8,-84.39859
18,2025-01-01 06:18:27,67.4197,46.62392361111111,570198.2,-36.5834
19,2025-01-01 18:31:58,67.5189,47.13331018518517,342364.8,-130.4096
20,2025-01-02 06:45:27,67.4841,47.64267361111112,558974.0,-165.7261
21,2025-01-02 18:58:58,67.6941,48.15206018518518,472668.4,-55.04878
22,2025-01-03 07:12:29,67.6218,48.66144675925926,629840.4,42.56187
23,2025-01-03 19:25:58,67.7107,49.17081018518518,477225.3,-31.00742
24,2025-01-04 07:39:29,67.7317,49.68019675925927,730190.9,-30.3372
25,2025-01-04 19:53:00,67.6504,50.18958333333333,637892.2,-124.8407
26,2025-01-05 08:06:31,67.8076,50.69896990740741,252782.5,-179.4055
27,2025-01-05 20:20:01,67.7246,51.2083449074074,957057.0,-72.6181
28,2025-01-06 09:20:33,67.5329,51.75038194444445,3450924.0,-143.9277
29,2025-01-06 21:33:45,67.6086,52.25954861111112,575463.6,-154.97
30,2025-01-07 09:46:58,67.5951,52.768726851851845,263713.5,59.74909
31,2025-01-07 22:00:10,67.5863,53.27789351851852,245276.9,-58.82195
32,2025-01-08 10:13:21,67.7901,53.78704861111112,412649.6,-137.3947
33,2025-01-08 22:26:33,67.8296,54.296215277777776,148926.0,-88.37737
34,2025-01-09 10:39:46,67.5258,54.805393518518514,235693.6,-86.38061
35,2025-01-09 22:52:57,67.8262,55.31454861111112,1248171.0,-125.1932
36,2025-01-10 10:51:36,67.5619,55.81361111111112,700296.6,121.0798
37,2025-01-10 11:17:14,67.5649,55.83141203703704,1235094.0,26.04657
45,2025-01-15 10:14:33,66.8313,60.78788194444445,607995.7,56.57802
46,2025-01-17 10:30:36,67.7217,62.79902777777778,490088.9,-127.4059
48,2025-01-17 16:07:38,67.4159,63.0330787037037,1958914.0,-122.8183
49,2025-01-18 04:13:05,67.6969,63.53686342592592,1532210.0,-103.0508
50,2025-01-18 16:18:32,67.6675,64.04064814814815,709603.3,-91.20339
51,2025-01-19 04:24:00,67.8869,64.54444444444444,1560569.0,-126.5795
52,2025-01-19 16:29:26,67.7641,65.0482175925926,4154975.0,24.58004
53,2025-01-20 04:34:53,67.8797,65.55200231481481,892278.8,-92.40973
54,2025-01-20 16:40:20,67.9615,66.05578703703704,1216230.0,-71.38334
55,2025-01-21 04:45:48,67.881,66.55958333333334,1545142.0,-54.68811
56,2025-01-21 12:28:35,67.9338,66.88096064814815,589362.6,-89.45544
57,2025-01-21 19:18:36,68.0333,67.16569444444444,634407.5,-20.35903
58,2025-01-22 07:31:48,68.1517,67.67486111111111,475060.9,-36.66958
59,2025-01-22 16:07:59,68.0508,68.03332175925927,825970.1,-146.1871
60,2025-01-23 04:21:10,68.0577,68.54247685185186,741825.7,-15.33103
61,2025-01-23 16:34:22,67.9824,69.05164351851852,882054.7,-85.09376
62,2025-01-24 04:47:33,68.2049,69.56079861111111,909146.8,-171.392
63,2025-01-24 17:10:36,67.8493,70.07680555555557,570409.1,-94.87077
64,2025-01-25 05:23:47,68.0006,70.58596064814814,445264.3,-79.4986
65,2025-01-25 17:36:59,67.9,71.09512731481482,1807313.0,-1.790477
66,2025-01-26 05:50:12,67.9728,71.60430555555556,663543.2,-116.8752
67,2025-01-26 18:03:24,67.88,72.11347222222221,1249940.0,-58.67728
68,2025-01-27 06:16:36,67.8617,72.62263888888889,1654345.0,-107.1824
69,2025-01-27 18:29:47,67.8542,73.1317939814815,1527413.0,-74.40246
70,2025-01-28 06:43:00,67.9866,73.64097222222223,987306.6,-15.86452
71,2025-01-28 18:56:12,68.0115,74.15013888888889,796731.2,-133.2136
72,2025-01-29 07:09:24,67.9651,74.65930555555555,725173.2,-77.21469
73,2025-01-29 19:22:35,68.0526,75.16846064814814,675019.7,-90.02723
74,2025-01-30 07:35:48,68.0391,75.6776388888889,772672.1,-81.95179
75,2025-01-30 19:48:59,68.0354,76.18679398148149,745020.6,-123.3242
76,2025-01-31 08:02:11,67.9698,76.69596064814814,1400898.0,-70.06128
77,2025-01-31 12:33:54,68.0695,76.88465277777777,1325913.0,-80.2132
78,2025-02-01 00:47:06,68.0209,77.39381944444445,2468248.0,-82.66223
79,2025-02-01 13:00:20,68.0569,77.90300925925926,760714.1,-62.49455
80,2025-02-02 01:13:31,68.0142,78.41216435185184,992733.0,-89.13673
81,2025-02-02 13:26:43,68.0429,78.92133101851852,1510219.0,-125.8474
