Channel Number,Channel Name,Starting Current for VT (uA)
d-024,IR01,118.55727525487161
d-025,IR02,71.7993311036789
d-026,IR03,1306.2776223776584
d-027,IR04,17934.119505493785
d-007,IR05,799.1913461538015
d-028,IR06,41.92788461538462
d-029,IR07,0.0
d-030,IR08,180.82782324057962
d-031,IR09,1161.4508050095942
d-006,IR10,233.84615384608497
d-008,PT01,0.0
d-009,PT02,1886.6117647060057
d-010,PT03,121.60180995479523
d-011,PT04,859.5814479638954
d-005,PT05,1177.500391134442
d-012,PT06,590.6511082139065
d-013,PT07,592.8080630213083
d-014,PT08,539.3065413389527
d-015,PT09,255.11275559885794
d-004,PT10,245.80450864923102
d-023,G1X1-1,148.33710407238522
d-022,G1X1-2,87.68484162895369
d-021,G3X3S-1,4.428655314161183
d-020,G3X3S-2,50.439560439568744
d-019,G2X2S-1,22.139717425415657
d-018,G2X2S-2,78.7027972028047
d-017,G2X2L-1,95.37320099256138
d-016,G2X2L-2,67.2017751479342
