Channel Number,Channel Name,Starting Current for VT (uA)
d-024,IR01,221.56378986867708
d-025,IR02,176.39017369727452
d-026,IR03,847.1608228981178
d-027,IR04,45334.61538467443
d-007,IR05,834.8092750170186
d-028,IR06,41.96269109439457
d-029,IR07,0.0
d-030,IR08,93.58832394181277
d-031,IR09,12.06401763049991
d-006,IR10,311.18165680474607
d-008,PT01,0.0
d-009,PT02,3152.884615384328
d-010,PT03,72.72892658830374
d-011,PT04,1358.633076923162
d-005,PT05,1195.6153846157933
d-012,PT06,991.6696832578343
d-013,PT07,994.751748251752
d-014,PT08,1096.4007692307484
d-015,PT09,760.8115384615162
d-004,PT10,972.0805008942319
d-023,G1X1-1,139.37154772938612
d-022,G1X1-2,31.954397394138653
d-021,G3X3S-1,6.312217194547955
d-020,G3X3S-2,59.34293948127116
d-019,G2X2S-1,68.64406779662087
d-018,G2X2S-2,58.04627218935149
d-017,G2X2L-1,37.05584826133614
d-016,G2X2L-2,57.67293012331508
